hand,sb_15_rfi,bn_15_rfi,co_15_rfi,hj_15_rfi,lj_15_rfi,utg2_15_rfi,utg1_15_rfi,utg0_15_rfi,hand,sb_25_rfi,bn_25_rfi,co_25_rfi,hj_25_rfi,lj_25_rfi,utg2_25_rfi,utg1_25_rfi,utg0_25_rfi,hand,sb_40_rfi,bn_40_rfi,co_40_rfi,hj_40_rfi,lj_40_rfi,utg2_40_rfi,utg1_40_rfi,utg0_40_rfi,hand,sb_60_rfi,bn_60_rfi,co_60_rfi,hj_60_rfi,lj_60_rfi,utg2_60_rfi,utg1_60_rfi,utg0_60_rfi
J5s,50% All-in 50% limp,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,Fold,J5s,50% Raise 3.3x 50% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,J5s,,,,,,,,,J5s,,,,,,,,
J4s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J4s,70% Raise 3.3x 30% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,J4s,,,,,,,,,J4s,,,,,,,,
J3s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J3s,70% Raise 3.3x 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J3s,,,,,,,,,J3s,,,,,,,,
J2s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J2s,70% Raise 3.3x 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,J2s,,,,,,,,,J2s,,,,,,,,
ATo,All-in,All-in,All-in,70% All-in 30% Raise 2x,30% All-in 70% Raise 2x,Raise 2x,Raise 2x,Raise 2x,ATo,40% Raise 3.3x 60% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,ATo,,,,,,,,,ATo,,,,,,,,
KTo,50% All-in 50% limp,90% All-in 10% Raise 2x,Raise 2x,Raise 2x,90% Raise 2x 10% Fold,40% Raise 2x 60% Fold,Fold,Fold,KTo,50% Raise 3.3x 50% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,10% Raise 2x 90% Fold,40% Raise 2x 60% Fold,20% Raise 2x 80% Fold,KTo,,,,,,,,,KTo,,,,,,,,
QTo,30% All-in 70% Limp,70% All-in 30% Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold,Fold,QTo,40% Raise 3.3x 60% Limp,Raise 2x,Raise 2x,Raise 2x,80% Raise 2x 20% Fold,20% Raise 2x 80% Fold,>10% Raise 2x >90% Fold,Fold,QTo,,,,,,,,,QTo,,,,,,,,
JTo,Limp,90% All-in 10% Raise 2x,Raise 2x,70% Raise 2x 30% Fold,<10% Raise 2x >90% Fold,Fold,Fold,Fold,JTo,40% Raise 3.3x 60% Limp,Raise 2x,Raise 2x,Raise 2x,40% Raise 2x 60% Fold,Fold,Fold,Fold,JTo,,,,,,,,,JTo,,,,,,,,
TT,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,TT,Raise 3.3x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,TT,,,,,,,,,TT,,,,,,,,
T9s,Limp,All-in,All-in,60% All-in 40% Raise 2x,Raise 2x,80% Raise 2x 20% Fold,60% Raise 2x 40% Fold,40% Raise 2x 60% Fold,T9s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,T9s,,,,,,,,,T9s,,,,,,,,
T8s,50% All-in 50% limp,All-in,Raise 2x,Fold,Fold,Fold,Fold,Fold,T8s,<10% Raise 3.3x >90% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,T8s,,,,,,,,,T8s,,,,,,,,
T7s,70% All-in 30% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,T7s,20% Raise 3.3x 80% Limp,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold,Fold,Fold,T7s,,,,,,,,,T7s,,,,,,,,
T6s,40% All-in 60% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T6s,50% Raise 3.3x 50% Limp,Raise 2x,10% Raise 2x 90% Fold,Fold,Fold,Fold,Fold,Fold,T6s,,,,,,,,,T6s,,,,,,,,
T5s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T5s,60% Raise 3.3x 40% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,T5s,,,,,,,,,T5s,,,,,,,,
T4s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T4s,70% Raise 3.3x 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T4s,,,,,,,,,T4s,,,,,,,,
T3s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T3s,70% Raise 3.3x 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T3s,,,,,,,,,T3s,,,,,,,,
T2s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T2s,70% Raise 3.3x 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T2s,,,,,,,,,T2s,,,,,,,,
A9o,All-in,All-in,All-in,60% All-in 40% Raise 2x,Raise 2x,80% Raise 2x 20% Fold,30% Raise 2x 70% Fold,Fold,A9o,25% All-in 25% Raise 3.3x 50% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold,A9o,,,,,,,,,A9o,,,,,,,,
K9o,60% All-in 40% limp,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Fold,K9o,70% Raise 3.3x 30% Limp,Raise 2x,Raise 2x,Fold,Fold,Fold,Fold,Fold,K9o,,,,,,,,,K9o,,,,,,,,
Q9o,Limp,Raise 2x,30% Raise 2x 70% Fold,Fold,Fold,Fold,Fold,Fold,Q9o,60% Raise 3.3x 40% Limp,Raise 2x,80% Raise 2x 20% Fold,Fold,Fold,Fold,Fold,Fold,Q9o,,,,,,,,,Q9o,,,,,,,,
J9o,Limp,Raise 2x,30% Raise 2x 70% Fold,Fold,Fold,Fold,Fold,Fold,J9o,60% Raise 3.3x 40% Limp,Raise 2x,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,J9o,,,,,,,,,J9o,,,,,,,,
T9o,10% All-in 90% limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,T9o,50% Raise 3.3x 50% Limp,Raise 2x,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,T9o,,,,,,,,,T9o,,,,,,,,
99,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,99,70% Raise 3.3x 30% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,99,,,,,,,,,99,,,,,,,,
98s,70% All-in 30% Limp,All-in,Raise 2x,Fold,Fold,Fold,Fold,Fold,98s,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,80% Raise 2x 20% Fold,98s,,,,,,,,,98s,,,,,,,,
97s,80% All-in 20% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,97s,10% Raise 3.3x 90% Limp,Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,<10% Raise 2x >90% Fold,Fold,Fold,97s,,,,,,,,,97s,,,,,,,,
96s,50% All-in 50% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,96s,40% Raise 3.3x 60% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,96s,,,,,,,,,96s,,,,,,,,
95s,20% All-in 80% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,95s,60% Raise 3.3x 40% Limp,20% Raise 2x 80% Fold,Fold,Fold,Fold,Fold,Fold,Fold,95s,,,,,,,,,95s,,,,,,,,
94s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,94s,70% Raise 3.3x 30% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,94s,,,,,,,,,94s,,,,,,,,
93s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,93s,50% Raise 3.3x 50% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,93s,,,,,,,,,93s,,,,,,,,
92s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,92s,20% Raise 3.3x 80% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,92s,,,,,,,,,92s,,,,,,,,
A8o,All-in,All-in,All-in,Raise 2x,40% Raise 2x 60% Fold,Fold,Fold,Fold,A8o,40% All-in 40% Raise 3.3x 20% Limp,Raise 2x,Raise 2x,Raise 2x,70% Raise 2x 30% Fold,Fold,Fold,Fold,A8o,,,,,,,,,A8o,,,,,,,,
K8o,40% All-in 60% Limp,70% Raise 2x 30% Fold,Fold,Fold,Fold,Fold,Fold,Fold,K8o,60% Raise 3.3x 40% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,K8o,,,,,,,,,K8o,,,,,,,,
Q8o,Limp,20% Raise 2x 80% Fold,Fold,Fold,Fold,Fold,Fold,Fold,Q8o,60% Raise 3.3x 40% Limp,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,Q8o,,,,,,,,,Q8o,,,,,,,,
J8o,Limp,20% Raise 2x 80% Fold,Fold,Fold,Fold,Fold,Fold,Fold,J8o,60% Raise 3.3x 40% Limp,80% Raise 2x 20% Fold,Fold,Fold,Fold,Fold,Fold,Fold,J8o,,,,,,,,,J8o,,,,,,,,
T8o,20% All-in 80% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,T8o,50% Raise 3.3x 50% Limp,90% Raise 2x 10% Fold,Fold,Fold,Fold,Fold,Fold,Fold,T8o,,,,,,,,,T8o,,,,,,,,
98o,10% All-in 90% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,98o,40% Raise 3.3x 60% Limp,50% Raise 2x 50% Fold,Fold,Fold,Fold,Fold,Fold,Fold,98o,,,,,,,,,98o,,,,,,,,
88,Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,88,70% Raise 3.3x 30% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,88,,,,,,,,,88,,,,,,,,
87s,All-in,Raise 2x,Fold,Fold,Fold,Fold,Fold,Fold,87s,10% Raise 3.3x 90% Limp,Raise 2x,Raise 2x,Raise 2x,Raise 2x,Raise 2x,40% Raise 2x 60% Fold,20% Raise 2x 80% Fold,87s,,,,,,,,,87s,,,,,,,,
86s,70% All-in 30% Limp,20% Raise 2x 80% Fold,Fold,Fold,Fold,Fold,Fold,Fold,86s,30% Raise 3.3x 70% Limp,Raise 2x,Raise 2x,60% Raise 2x 40% Fold,Fold,Fold,Fold,Fold,86s,,,,,,,,,86s,,,,,,,,
85s,50% All-in 50% limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,85s,50% Raise 3.3x 50% Limp,90% Raise 2x 10% Fold,Fold,Fold,Fold,Fold,Fold,Fold,85s,,,,,,,,,85s,,,,,,,,
84s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,84s,60% Raise 3.3x 40% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,84s,,,,,,,,,84s,,,,,,,,
83s,Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,83s,10% Raise 3.3x 90% Limp,Fold,Fold,Fold,Fold,Fold,Fold,Fold,83s,,,,,,,,,83s,,,,,,,,
